1700,2,3,3,4,3,3,4,1,1,3,3,3,3
0,3,3,3,4,4,3,3,4,2,3,3,3,4
835,3,3,3,3,4,2,3,2,3,3,2,3,4
3866.7,2,3,3,4,4,3,3,4,1,3,2,3,4
4000,3,3,3,4,4,3,4,6,4,3,3,3,4
2933.3,3,3,3,4,3,3,4,2,4,3,3,3,4
10000,3,3,3,4,4,3,4,6,3,3,3,3,4
5333.3,3,3,3,4,4,3,4,6,4,3,3,3,4
2283,2,3,3,3,4,2,3,3,1,3,3,3,3
3533.3,3,3,3,3,3,3,4,1,4,3,3,3,4
6995,3,3,3,4,3,3,4,2,4,3,3,3,4
1285.7,3,3,3,4,3,2,3,6,4,3,2,3,4
2425,2,3,3,4,4,2,2,2,1,3,3,3,3
4000,3,3,3,4,4,3,4,6,4,3,3,3,4
5333.3,3,3,3,4,4,3,4,5,4,3,3,3,4
2966.7,2,3,3,4,3,3,3,2,1,3,3,3,4
1666.7,3,3,3,4,3,3,4,3,4,3,3,3,4
1088,3,3,3,3,3,2,3,2,4,3,3,3,3
1016,3,3,3,3,2,2,3,1,2,3,2,3,4
12190,3,3,3,4,4,3,2,6,3,3,2,3,4
1000,2,3,3,2,3,2,2,3,1,2,3,3,3
5500,3,3,3,4,4,2,3,3,2,3,2,3,2
13800,3,3,3,4,4,3,3,6,4,3,2,3,4
5300,3,3,3,4,3,2,4,1,4,3,3,3,4
4000,2,3,3,4,4,3,3,1,1,3,3,3,3
4000,3,3,3,4,3,3,4,4,4,3,2,3,4
3600,2,3,3,4,4,3,4,2,1,3,3,3,4
750,2,3,2,4,3,3,4,5,1,3,3,2,4
7625,3,3,3,4,4,3,4,5,4,3,3,3,4
1740,3,3,3,4,3,3,3,4,4,3,2,3,4
2450,2,3,3,4,4,3,4,4,1,3,3,3,4
3820,3,3,3,3,3,2,2,3,4,2,3,3,4
4125,3,3,3,4,4,3,4,2,4,3,3,3,4
5500,3,3,3,4,4,3,4,5,2,3,3,3,4
5101,2,3,3,4,4,3,4,2,1,3,3,3,4
8000,3,3,3,4,4,3,3,3,4,3,3,3,4
2675,3,3,3,4,3,2,3,4,4,3,2,3,4
3616,2,3,3,3,4,3,3,3,1,3,2,3,3
5244,3,3,3,4,3,3,4,3,4,3,3,3,4
1250,3,3,3,4,3,3,4,4,4,3,3,3,4
5550,2,3,3,4,3,3,4,4,1,3,3,3,4
